Date,Currency,ExchangeRate
2020-08-16,SEK,10.287375
2020-08-17,SEK,10.309879
2020-08-18,SEK,10.312558
2020-08-19,SEK,10.304694
2020-08-20,SEK,10.327916
2020-08-21,SEK,10.391187
2020-08-22,SEK,10.390745
2020-08-23,SEK,10.344282
2020-08-24,SEK,10.366274
2020-08-25,SEK,10.362145
2020-08-26,SEK,10.316481
2020-08-27,SEK,10.311966
2020-08-28,SEK,10.283903
2020-08-29,SEK,10.283903
2020-08-30,SEK,10.276328
2020-08-31,SEK,10.329438
2020-09-01,SEK,10.343644
2020-09-02,SEK,10.336244
2020-09-03,SEK,10.354372
2020-09-04,SEK,10.350732
2020-09-05,SEK,10.350732
2020-09-06,SEK,10.345754
2020-09-07,SEK,10.362522
2020-09-08,SEK,10.396908
2020-09-09,SEK,10.32064
2020-09-10,SEK,10.366413
2020-09-11,SEK,10.380826
2020-09-12,SEK,10.382491
2020-09-13,SEK,10.400668
2020-09-14,SEK,10.411792
2020-09-15,SEK,10.416804
2020-09-16,SEK,10.397045
2020-09-17,SEK,10.390844
2020-09-18,SEK,10.354131
2020-09-19,SEK,10.3547
2020-09-20,SEK,10.397666
2020-09-21,SEK,10.416731
2020-09-22,SEK,10.436387
2020-09-23,SEK,10.506305
2020-09-24,SEK,10.62694
2020-09-25,SEK,10.624425
2020-09-26,SEK,10.624927
2020-09-27,SEK,10.614985
2020-09-28,SEK,10.555907
2020-09-29,SEK,10.529004
2020-09-30,SEK,10.496003
2020-10-01,SEK,10.480007
2020-10-02,SEK,10.46574
2020-10-03,SEK,10.465874
2020-10-04,SEK,10.471437
2020-10-05,SEK,10.481652
2020-10-06,SEK,10.509771
2020-10-07,SEK,10.451977
2020-10-08,SEK,10.419464
2020-10-09,SEK,10.391982
2020-10-10,SEK,10.393343
2020-10-11,SEK,10.398603
2020-10-12,SEK,10.392248
2020-10-13,SEK,10.373404
2020-10-14,SEK,10.371792
2020-10-15,SEK,10.383991
2020-10-16,SEK,10.380937
2020-10-17,SEK,10.37964
2020-10-18,SEK,10.363579
2020-10-19,SEK,10.392257
2020-10-20,SEK,10.342375
2020-10-21,SEK,10.357613
2020-10-22,SEK,10.353571
2020-10-23,SEK,10.376143
2020-10-24,SEK,10.378069
2020-10-25,SEK,10.386333
2020-10-26,SEK,10.32575
2020-10-27,SEK,10.293737
2020-10-28,SEK,10.394406
2020-10-29,SEK,10.418901
2020-10-30,SEK,10.32913
2020-10-31,SEK,10.330967
2020-11-01,SEK,10.391719
2020-11-02,SEK,10.365637
2020-11-03,SEK,10.344162
2020-11-04,SEK,10.306124
2020-11-05,SEK,10.286127
2020-11-06,SEK,10.262209
2020-11-07,SEK,10.262425
2020-11-08,SEK,10.27573
2020-11-09,SEK,10.192029
2020-11-10,SEK,10.189672
2020-11-11,SEK,10.170303
2020-11-12,SEK,10.199454
2020-11-13,SEK,10.286967
2020-11-14,SEK,10.286849
2020-11-15,SEK,10.270773
2020-11-16,SEK,10.216546
2020-11-17,SEK,10.232349
2020-11-18,SEK,10.193765
2020-11-19,SEK,10.21176
2020-11-20,SEK,10.223017
2020-11-21,SEK,10.223144
2020-11-22,SEK,10.212182
2020-11-23,SEK,10.216592
2020-11-24,SEK,10.160378
2020-11-25,SEK,10.130237
2020-11-26,SEK,10.155276
2020-11-27,SEK,10.16209
2020-11-28,SEK,10.162727
2020-11-29,SEK,10.192283
2020-11-30,SEK,10.231653
2020-12-01,SEK,10.237242
2020-12-02,SEK,10.259963
2020-12-03,SEK,10.266225
2020-12-04,SEK,10.251827
2020-12-05,SEK,10.251827
2020-12-06,SEK,10.256857
2020-12-07,SEK,10.170153
